Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2014

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Adelanto Police Dept,CA,12,      31213,         189,           3,,          18,          37,         131,         790,         422,         257,         111,         605.5,           9.6,,          57.7,         118.5,         419.7,       2531.0,       1352.0,         823.4,         355.6
Agoura Hills,CA,12,      20767,          17,           0,           5,,           3,           9,         234,          66,         156,          12,          81.9,            .0,          24.1,,          14.4,          43.3,       1126.8,         317.8,         751.2,          57.8
Alameda County Sheriff Department,CA,12,,         588,           2,,          26,         182,         378,       2111,         540,         887,         684,,,,,,,,,,
Alameda Police Dept,CA,12,      77048,         145,           1,           9,,          62,          73,       1723,         236,       1154,         333,         188.2,           1.3,          11.7,,          80.5,          94.7,       2236.3,         306.3,       1497.8,         432.2
Albany Police Dept,CA,12,      19350,          31,           0,           3,,          24,           4,         478,         105,         319,          54,         160.2,            .0,          15.5,,         124.0,          20.7,       2470.3,         542.6,       1648.6,         279.1
Alhambra Police Dept,CA,12,      84931,         168,           1,          19,,          83,          65,       1743,         316,       1203,         224,         197.8,           1.2,          22.4,,          97.7,          76.5,       2052.3,         372.1,       1416.4,         263.7
Aliso Viejo,CA,12,      50671,          35,           1,,           5,           5,          24,         273,          45,         211,          17,          69.1,           2.0,,           9.9,           9.9,          47.4,         538.8,          88.8,         416.4,          33.5
American Canyon,CA,12,      20379,          55,           0,           2,,          16,          37,         568,          98,         439,          31,         269.9,            .0,           9.8,,          78.5,         181.6,       2787.2,         480.9,       2154.2,         152.1
Anaheim Police Dept,CA,12,     346956,       1101,          14,          79,,         418,         590,       8196,       1301,       5620,       1275,         317.3,           4.0,          22.8,,         120.5,         170.1,       2362.3,         375.0,       1619.8,         367.5
Anderson Police Dept,CA,12,      10176,          96,           1,          10,,          11,          74,         617,         100,         440,          77,         943.4,           9.8,          98.3,,         108.1,         727.2,       6063.3,         982.7,       4323.9,         756.7
Antioch Police Dept,CA,12,     108223,         849,           9,,          54,         320,         466,       4190,       1317,       1850,       1023,         784.5,           8.3,,          49.9,         295.7,         430.6,       3871.6,       1216.9,       1709.4,         945.3
Apple Valley,CA,12,      71329,         212,           2,,          18,          53,         139,       1654,         573,         866,         215,         297.2,           2.8,,          25.2,          74.3,         194.9,       2318.8,         803.3,       1214.1,         301.4
Arcadia Police Dept,CA,12,      57950,          60,           1,,           7,          24,          28,       1159,         276,         839,          44,         103.5,           1.7,,          12.1,          41.4,          48.3,       2000.0,         476.3,       1447.8,          75.9
Arcata Police Dept,CA,12,      17748,          78,           0,          13,,          19,          46,         702,         144,         499,          59,         439.5,            .0,          73.2,,         107.1,         259.2,       3955.4,         811.4,       2811.6,         332.4
Arroyo Grande Police Dept,CA,12,      17829,          52,           0,           1,,           7,          44,         356,          82,         243,          31,         291.7,            .0,           5.6,,          39.3,         246.8,       1996.7,         459.9,       1362.9,         173.9
Artesia,CA,12,      16788,          49,           0,           1,,          26,          22,         294,          86,         160,          48,         291.9,            .0,           6.0,,         154.9,         131.0,       1751.3,         512.3,         953.1,         285.9
Arvin Police Dept,CA,12,      20541,         177,           2,           4,,          19,         152,         483,         165,         230,          88,         861.7,           9.7,          19.5,,          92.5,         740.0,       2351.4,         803.3,       1119.7,         428.4
Atascadero Police Dept,CA,12,      29268,          72,           0,          12,,           8,          52,         448,         102,         317,          29,         246.0,            .0,          41.0,,          27.3,         177.7,       1530.7,         348.5,       1083.1,          99.1
Atwater Police Dept,CA,12,      28961,         182,           0,           9,,          25,         148,       1024,         240,         684,         100,         628.4,            .0,          31.1,,          86.3,         511.0,       3535.8,         828.7,       2361.8,         345.3
Auburn Police Dept,CA,12,      14042,          44,           1,           2,,           8,          33,         295,          65,         193,          37,         313.3,           7.1,          14.2,,          57.0,         235.0,       2100.8,         462.9,       1374.4,         263.5
Avenal,CA,12,      13914,          18,           0,           0,,           7,          11,         154,          53,          79,          22,         129.4,            .0,            .0,,          50.3,          79.1,       1106.8,         380.9,         567.8,         158.1
Azusa Police Dept,CA,12,      48224,         165,           0,,          12,          30,         123,       1065,         270,         665,         130,         342.2,            .0,,          24.9,          62.2,         255.1,       2208.4,         559.9,       1379.0,         269.6
Bakersfield Police Dept,CA,12,     367406,       1678,          17,          21,,         660,         980,      14595,       4065,       8247,       2283,         456.7,           4.6,           5.7,,         179.6,         266.7,       3972.4,       1106.4,       2244.7,         621.4
Baldwin Park Police Dept,CA,12,      76933,         219,           2,           7,,          56,         154,       1342,         317,         709,         316,         284.7,           2.6,           9.1,,          72.8,         200.2,       1744.4,         412.0,         921.6,         410.7
Banning Police Dept,CA,12,      30699,         128,           1,          23,,          16,          88,         619,         248,         243,         128,         417.0,           3.3,          74.9,,          52.1,         286.7,       2016.4,         807.8,         791.6,         417.0
Barstow Police Dept,CA,12,      23349,         217,           1,          11,,          52,         153,         781,         328,         307,         146,         929.4,           4.3,          47.1,,         222.7,         655.3,       3344.9,       1404.8,       1314.8,         625.3
Beaumont Police Dept,CA,12,      41323,          71,           0,           8,,          19,          44,         974,         171,         707,          96,         171.8,            .0,          19.4,,          46.0,         106.5,       2357.0,         413.8,       1710.9,         232.3
Bell Police Dept,CA,12,      36059,         217,           1,          19,,          73,         124,         718,         156,         418,         144,         601.8,           2.8,          52.7,,         202.4,         343.9,       1991.2,         432.6,       1159.2,         399.3
Bell Gardens Police Dept,CA,12,      43089,         108,           2,           7,,          41,          58,         710,         107,         333,         270,         250.6,           4.6,          16.2,,          95.2,         134.6,       1647.8,         248.3,         772.8,         626.6
Bellflower,CA,12,      77830,         293,           2,           8,,          97,         186,       1623,         411,         829,         383,         376.5,           2.6,          10.3,,         124.6,         239.0,       2085.3,         528.1,       1065.1,         492.1
Belmont Police Dept,CA,12,      26947,          36,           0,           9,,           9,          18,         372,          75,         266,          31,         133.6,            .0,          33.4,,          33.4,          66.8,       1380.5,         278.3,         987.1,         115.0
Benicia Police Dept,CA,12,      27766,          26,           0,           4,,           8,          14,         484,         145,         283,          56,          93.6,            .0,          14.4,,          28.8,          50.4,       1743.1,         522.2,       1019.2,         201.7
Berkeley Police Dept,CA,12,     117753,         431,           3,,          35,         263,         130,       5102,         932,       3615,         555,         366.0,           2.5,,          29.7,         223.3,         110.4,       4332.8,         791.5,       3070.0,         471.3
Beverly Hills Police Dept,CA,12,      34788,         111,           0,           7,,          45,          59,       1071,         251,         774,          46,         319.1,            .0,          20.1,,         129.4,         169.6,       3078.6,         721.5,       2224.9,         132.2
Blythe Police Dept,CA,12,      19669,          88,           3,           4,,          29,          52,         748,         189,         537,          22,         447.4,          15.3,          20.3,,         147.4,         264.4,       3802.9,         960.9,       2730.2,         111.9
Brawley Police Dept,CA,12,      25695,          69,           2,           7,,          10,          50,       1020,         223,         729,          68,         268.5,           7.8,          27.2,,          38.9,         194.6,       3969.6,         867.9,       2837.1,         264.6
Brea Police Dept,CA,12,      41359,          53,           0,           5,,          22,          26,       1124,         171,         897,          56,         128.1,            .0,          12.1,,          53.2,          62.9,       2717.7,         413.5,       2168.8,         135.4
Brentwood Police Dept,CA,12,      55826,         102,           0,,           8,          49,          45,       1250,         177,         954,         119,         182.7,            .0,,          14.3,          87.8,          80.6,       2239.1,         317.1,       1708.9,         213.2
Buena Park Police Dept,CA,12,      83414,         217,           1,          13,,          65,         138,       2030,         341,       1411,         278,         260.1,           1.2,          15.6,,          77.9,         165.4,       2433.6,         408.8,       1691.6,         333.3
Burbank Police Dept,CA,12,     105041,         150,           1,          14,,          55,          80,       2426,         296,       1948,         182,         142.8,           1.0,          13.3,,          52.4,          76.2,       2309.6,         281.8,       1854.5,         173.3
Burlingame Police Dept,CA,12,      30161,          47,           0,           4,,          12,          31,         750,         240,         445,          65,         155.8,            .0,          13.3,,          39.8,         102.8,       2486.7,         795.7,       1475.4,         215.5
Butte County Sheriff Department,CA,12,,          82,           9,           3,,          16,          54,       1119,         581,         525,          13,,,,,,,,,,
Calabasas,CA,12,      24325,          19,           0,           2,,           6,          11,         252,          81,         156,          15,          78.1,            .0,           8.2,,          24.7,          45.2,       1036.0,         333.0,         641.3,          61.7
Calaveras County Sheriff Department,CA,12,,         106,           0,          12,,           9,          85,         833,         275,         555,           3,,,,,,,,,,
Calexico Police Dept,CA,12,      39572,          96,           0,           7,,          30,          59,       1630,         393,         918,         319,         242.6,            .0,          17.7,,          75.8,         149.1,       4119.1,         993.1,       2319.8,         806.1
California City Police Dept,CA,12,      13168,          79,           1,           8,,           5,          65,         481,         249,         210,          22,         599.9,           7.6,          60.8,,          38.0,         493.6,       3652.8,       1890.9,       1594.8,         167.1
Camarillo,CA,12,      66272,          72,           0,,          14,          21,          37,         965,         154,         755,          56,         108.6,            .0,,          21.1,          31.7,          55.8,       1456.1,         232.4,       1139.2,          84.5
Campbell Police Dept,CA,12,      40872,          81,           1,,          14,          21,          45,       1388,         313,         873,         202,         198.2,           2.4,,          34.3,          51.4,         110.1,       3396.0,         765.8,       2135.9,         494.2
Canyon Lake,CA,12,      10987,          13,           0,           0,,           3,          10,         128,          18,          91,          19,         118.3,            .0,            .0,,          27.3,          91.0,       1165.0,         163.8,         828.3,         172.9
Capitola Police Dept,CA,12,      10134,          30,           0,           2,,           7,          21,         627,          25,         574,          28,         296.0,            .0,          19.7,,          69.1,         207.2,       6187.1,         246.7,       5664.1,         276.3
